"DateTime","Morpho - Price","Morpho - Market Cap","Morpho - Fully Diluted Market Cap","Morpho - Fees","Morpho - Circulating Supply"
"2025-04-04 00:00:00",1.148318567,272896680.279474,1148318567,230006,237592925.877072
"2025-04-05 00:00:00",1.147893769,272157837.293961,1147893769,227909,237777856.680425
"2025-04-06 00:00:00",0.9062116795,215595159.005621,906211679.5,254941,237780861.348635
"2025-04-07 00:00:00",0.983638361,234145363.852782,983638361,262395,237781227.221569
"2025-04-08 00:00:00",0.9474928462,225358778.584936,947492846.1999999,210525,237782938.424751
"2025-04-09 00:00:00",1.067820816,253800313.235118,1067820816,214771,305499493.118984
"2025-04-10 00:00:00",0.9986984496,237701383.824435,998698449.6,238243,237787973.518216
"2025-04-11 00:00:00",0.9945074664,236463950.773047,994507466.4,279092,237787978.520302
"2025-04-12 00:00:00",1.036631946,247027696.391515,1036631946,239953,237787986.438044
"2025-04-13 00:00:00",0.9679455524,228831984.075141,967945552.4,219294,237881050.254078
"2025-04-14 00:00:00",0.9789861078,232769074.381,978986107.8,241789,237885383.245456
"2025-04-15 00:00:00",0.8773169046,208684527.064461,877316904.6,216297,305499493.118984
"2025-04-16 00:00:00",0.8552074344,203437452.856486,855207434.4,209760,237885383.335338
"2025-04-17 00:00:00",0.9138365148,217351368.280978,913836514.8000001,207306,237896262.867046
"2025-04-18 00:00:00",0.9095285731,216378447.862333,909528573.1,239289,237896320.4515
"2025-04-19 00:00:00",0.9378448847,223258913.44509,937844884.7,214202,237897649.819514
"2025-04-20 00:00:00",0.9206866719,218654441.445082,920686671.9,217830,237900328.151941
"2025-04-21 00:00:00",0.9187676262,218314534.771368,918767626.1999999,224030,237900378.882461
"2025-04-22 00:00:00",1.009622112,240604109.541335,1009622112,249722,238485864.721494
"2025-04-23 00:00:00",1.156948031,275641346.128014,1156948031,218681,238485916.820911
"2025-04-24 00:00:00",1.157493657,276227346.092495,1157493657,214432,238494801.980429
"2025-04-25 00:00:00",1.188348365,283404621.918722,1188348365,214981,238498822.912723
"2025-04-26 00:00:00",1.288512678,307184758.563925,1288512678,203383,238507201.714003
"2025-04-27 00:00:00",1.210438599,288715712.122118,1210438599,201661,238509677.819916
"2025-04-28 00:00:00",1.187966029,283342985.583113,1187966029,226524,238559103.952775
"2025-04-29 00:00:00",1.200469866,286083818.137019,1200469866,217407,238559149.866781
"2025-04-30 00:00:00",1.200170235,316483465.839799,1200170235,227017,238568036.993781
"2025-05-01 00:00:00",1.445724199,381629538.589368,1445724199,228656,263733542.481838
"2025-05-02 00:00:00",1.424784257,375592671.589909,1424784257,220344,263733601.723456
